"Time (s) Run #1","Force (N) Run #1"
12.200,16.64
12.250,0.09
12.300,0.09
12.350,3.89
12.400,0.09
12.450,0.07
12.500,0.09
12.550,0.08
12.600,0.09
12.650,0.10
12.700,0.09
12.750,0.10
12.800,0.09
12.850,0.10
12.900,0.09
12.950,0.10
13.000,0.10
13.050,0.09
13.100,0.08
13.150,0.08
13.200,0.09
13.250,0.09
13.300,0.09
13.350,0.09
13.400,0.09
13.450,0.09
13.500,0.09
13.550,0.09
13.600,0.09
13.650,0.10
13.700,0.09
13.750,0.09
13.800,0.09
13.850,0.09
13.900,0.10
13.950,0.10
14.000,0.09
14.050,0.09
14.100,0.10
14.150,0.10
14.200,0.10
14.250,0.10
14.300,0.10
14.350,0.10
14.400,0.09
14.450,0.10
14.500,0.08
14.550,0.09
14.600,0.08
14.650,0.09
14.700,0.08
14.750,0.09
14.800,0.10
14.850,0.10
14.900,0.09
14.950,0.09
15.000,0.09
15.050,0.09
15.100,0.09
15.150,0.10
15.200,0.10
15.250,0.09
15.300,0.10
15.350,0.09
15.400,0.09
15.450,0.10
15.500,0.09
15.550,0.10
15.600,0.09
15.650,0.09
15.700,0.09
15.750,0.09
15.800,0.09
15.850,0.09
15.900,0.09
15.950,0.09
16.000,0.08
16.050,0.08
16.100,0.08
16.150,0.08
16.200,0.09
16.250,0.08
16.300,0.09
16.350,0.08
16.400,0.08
16.450,0.09
16.500,0.08
16.550,0.10
16.600,0.09
16.650,0.09
16.700,0.09
16.750,0.09
16.800,0.09
16.850,0.09
16.900,0.09
16.950,0.09
17.000,0.08
17.050,0.10
17.100,0.09
17.150,0.10
17.200,0.10
17.250,0.09
17.300,0.09
17.350,0.10
17.400,0.09
17.450,0.10
17.500,0.09
17.550,0.09
17.600,0.10
17.650,0.09
17.700,0.09
17.750,0.09
17.800,0.08
17.850,0.10
17.900,0.09
17.950,0.09
18.000,0.09
18.050,0.09
18.100,0.09
18.150,0.09
18.200,0.08
18.250,0.09
18.300,0.09
18.350,0.09
18.400,0.09
18.450,0.09
18.500,0.09
18.550,0.09
18.600,0.09
18.650,0.09
18.700,0.09
18.750,0.09
18.800,0.09
18.850,0.09
18.900,0.09
18.950,0.10
19.000,0.10
19.050,0.10
19.100,0.10
19.150,0.10
19.200,0.10
19.250,0.11
19.300,0.10
19.350,0.10
19.400,0.09
19.450,0.10
19.500,0.09
19.550,0.09
19.600,0.10
19.650,0.10
19.700,0.10
19.750,0.09
19.800,0.09
19.850,0.10
19.900,0.10
19.950,0.10
20.000,0.11
20.050,0.10
20.100,0.11
20.150,0.11
20.200,0.10
20.250,0.08
20.300,0.10
20.350,0.10
20.400,0.09
20.450,0.10
20.500,0.10
20.550,0.10
20.600,0.10
20.650,0.11
20.700,0.10
20.750,0.10
20.800,0.10
20.850,0.11
20.900,0.10
20.950,0.10
21.000,0.11
21.050,0.11
21.100,0.10
21.150,0.10
21.200,0.10
21.250,0.10
21.300,0.10
21.350,0.11
21.400,0.11
21.450,0.10
21.500,0.09
21.550,0.10
21.600,0.11
21.650,0.10
21.700,0.09
21.750,0.10
21.800,0.10
21.850,0.10
21.900,0.09
21.950,0.10
22.000,0.09
22.050,0.09
22.100,0.10
22.150,0.10
22.200,0.10
22.250,0.11
22.300,0.09
22.350,0.10
22.400,0.11
22.450,0.09
22.500,0.09
22.550,0.09
22.600,0.09
22.650,0.09
22.700,0.09
22.750,0.09
22.800,0.09
22.850,0.09
22.900,0.09
22.950,0.09
23.000,0.09
23.050,0.10
23.100,0.10
23.150,0.10
23.200,0.09
23.250,0.10
23.300,0.09
23.350,0.09
23.400,0.09
23.450,0.09
23.500,0.09
23.550,0.09
23.600,0.09
23.650,0.09
23.700,0.09
23.750,0.10
23.800,0.09
23.850,0.10
23.900,0.09
23.950,0.10
24.000,0.10
24.050,0.09
24.100,0.10
24.150,0.09
24.200,0.08
24.250,0.08
